Index,ppa,psa
0,29.999999999999996,20.0
1,28.63978680750272,20.98815781508405
2,27.203550856735518,21.925820476999473
3,25.693784480422675,22.814238092738545
4,24.113129827348242,23.654313129838833
5,22.464468963068303,24.446632978077332
6,20.75099897226697,25.19149480846527
7,18.976291830432437,25.88892379728426
8,17.144338280635534,26.53868552882884
9,15.259574724309084,27.140293184505882
10,13.32689220876242,27.69300995637454
11,11.351626958396178,28.195846981339578
12,9.339532524456223,28.6475569715218
13,7.296734469623324,29.04662361213103
14,5.229669483418714,29.391246707366214
15,3.145011845576597,29.679322975892667
16,1.0495911088947016,29.90842233036184
17,-1.049694344843228,30.07575942224343
18,-3.1459626988516622,30.178160198409955
19,-5.232427656092703,30.212023207267393
20,-7.302465674220072,30.173275422192024
21,-9.349666593478403,30.057322437485062
22,-11.367863373331703,29.85899306484847
23,-13.351137365250025,29.572478656824714
24,-15.29379625999422,29.191267965012923
25,-17.19032245914585,28.708079085125792
26,-19.035290062236225,28.114791157262317
27,-20.823248906426514,27.40238012307315
28,-22.54857417733068,26.560865176624358
29,-24.205280132708072,25.579275804364286
30,-25.78679664377947,24.44565373044203
31,-27.285707880232525,23.14710987004118
32,-28.69345401806652,21.66996360158995
33,-30.000000000000004,19.99999999999999
34,-31.194311107624028,18.126634882569565
35,-32.26673981559218,16.055589351448095
36,-33.207058914562936,13.799888845061991
37,-34.00431752965581,11.37710644894786
38,-34.6476247901229,8.809898785356191
39,-35.127011119203246,6.126155401560596
40,-35.43429756221391,3.358657145245584
41,-35.56388168504275,0.5441999783594001
42,-35.513341704584796,-2.2777688311870747
43,-35.283774436726524,-5.066856483314481
44,-34.87981719066629,-7.783549981337382
45,-34.30935153977147,-10.390910585119276
46,-33.582935543390214,-12.855917974604942
47,-32.71304778053082,-15.150323502757121
48,-31.713243402587942,-17.25097126452728
49,-30.597318307597458,-19.1396356459212
50,-29.378583527218197,-20.8031082460425
51,-28.06958973393816,-22.24592888599685
52,-26.680880707739234,-23.48848176668979
53,-25.22025122826131,-24.551897138975818
54,-23.69308610319139,-25.45674436803039
55,-22.10271144743752,-26.222634483728733
56,-20.450700694677526,-26.86802253930231
57,-18.7371272363365,-27.410147755205973
58,-16.9607637382653,-27.86506536594032
59,-15.119232682775756,-28.24773776038595
60,-13.209114960155555,-28.572163335015574
61,-11.226024435151679,-28.85152968418205
62,-9.164657068633478,-29.09838385315309
63,-7.018823890446747,-29.324816953690085
64,-4.781478268300462,-29.542664020839027
65,-2.4447497970231344,-29.76372303900822
66,2.7497963773003877e-14,-29.999999999999996
67,2.559265668675431,-30.26053669058875
68,5.227683867210672,-30.541001884876213
69,7.994337977494532,-30.833491470347663
70,10.845188789795001,-31.129705742741564
71,13.76315688927813,-31.420742749389145
72,16.72842232846368,-31.69689023514393
73,19.718939267394994,-31.94741113941555
74,22.711130794543156,-32.16031878767961
75,25.68069709121374,-32.32213930445256
76,28.603446143062374,-32.41766071352042
77,31.456046502262126,-32.42967121187078
78,34.21660847461315,-32.33869398903679
79,36.865021095442486,-32.12273387105039
80,39.38300119996131,-31.75706365551653
81,41.7538404043277,-31.214097499523902
82,43.96186006348391,-30.463427782320203
83,45.99160093538662,-29.472142877624496
84,47.82678520886191,-28.20559644399427
85,49.449099340813696,-26.628858057204006
86,50.83686493959007,-24.70912038183623
87,51.96370031783523,-22.41932566770702
88,52.79733253584643,-19.74312883060143
89,53.298794128462205,-16.680941843366465
90,53.42230803352098,-13.25615456900995
91,53.11618722798103,-9.519822818527098
92,52.32501045540824,-5.551578225227511
93,50.993184155993674,-1.454890739631978
94,49.06984586302257,2.653516832136663
95,46.515023683529535,6.657874362857135
96,43.30703338271988,10.457214018990241
97,39.45099207903033,13.975070781759513
98,34.98761517041569,17.16321729847122
99,29.999999999999993,20.000000000000004
